StudentID,Midterm,Lab,Final,Class,Semester,Year
18125100,7,9,8.5,18CTT1,2,2018-2019
18125101,8.5,8.8,7,18CTT1,2,2018-2019
18125102,5,7.3,5.5,18CTT1,2,2018-2019
18125103,3.5,7.4,6,18CTT1,2,2018-2019
18125104,9,10,9,18CTT1,2,2018-2019
18125105,8,9,7.5,18CTT1,2,2018-2019
18125106,7.5,8.4,8,18CTT1,2,2018-2019
18125107,5.5,8,7,18CTT1,2,2018-2019
18125108,8,9.3,8,18CTT1,2,2018-2019
18125109,7,8.1,8,18CTT1,2,2018-2019
18125010,7,9,8.5,18CTT2,2,2018-2019
18125011,8.5,8.8,7,18CTT2,2,2018-2019
18125012,5,7.3,5.5,18CTT2,2,2018-2019
18120513,3.5,7.4,6,18CTT2,2,2018-2019
18125014,9,10,9,18CTT2,2,2018-2019
15125015,8,9,7.5,18CTT2,2,2018-2019
18125016,7.5,8.4,8,18CTT2,2,2018-2019
18125017,5.5,8,7,18CTT2,2,2018-2019
18125018,8,9.3,8,18CTT2,2,2018-2019
18125019,7,8.1,8,18CTT2,2,2018-2019
18125030,7,9,8.5,18CTT4,2,2018-2019
18125031,8.5,8.8,7,18CTT4,2,2018-2019
18125032,5,7.3,5.5,18CTT4,2,2018-2019
18125033,3.5,7.4,6,18CTT4,2,2018-2019
18125034,9,10,9,18CTT4,2,2018-2019
18125035,8,9,7.5,18CTT4,2,2018-2019
18125036,7.5,8.4,8,18CTT4,2,2018-2019
18125037,5.5,8,7,18CTT4,2,2018-2019
18125038,8,9.3,8,18CTT4,2,2018-2019
18125039,7,8.1,8,18CTT4,2,2018-2019
