StudentID,Midterm,Lab,Final,Class,Semester,Year
18125100,2.5,7.8,6.5,18CTT1,2,2018-2019
18125101,9,8.8,8,18CTT1,2,2018-2019
18125102,6,7.2,6,18CTT1,2,2018-2019
18125103,3,7.4,6,18CTT1,2,2018-2019
18125104,8.5,9.7,8,18CTT1,2,2018-2019
18125105,7,9,7.5,18CTT1,2,2018-2019
18125106,6.5,8.4,7.5,18CTT1,2,2018-2019
18125107,5.5,8,7,18CTT1,2,2018-2019
18125108,8,8.9,7.5,18CTT1,2,2018-2019
18125109,6.5,8.1,8,18CTT1,2,2018-2019
18125010,2.5,7.8,6.5,18CTT2,2,2018-2019
18125011,9,8.8,8,18CTT2,2,2018-2019
18125012,6,7.2,6,18CTT2,2,2018-2019
18120513,3,7.4,6,18CTT2,2,2018-2019
18125014,8.5,9.7,8,18CTT2,2,2018-2019
15125015,7,9,7.5,18CTT2,2,2018-2019
18125016,6.5,8.4,7.5,18CTT2,2,2018-2019
18125017,5.5,8,7,18CTT2,2,2018-2019
18125018,8,8.9,7.5,18CTT2,2,2018-2019
18125019,6.5,8.1,8,18CTT2,2,2018-2019
18125020,2.5,7.8,6.5,18CTT3,2,2018-2019
18125021,9,8.8,8,18CTT3,2,2018-2019
18125022,6,7.2,6,18CTT3,2,2018-2019
18125023,3,7.4,6,18CTT3,2,2018-2019
18125024,8.5,9.7,8,18CTT3,2,2018-2019
18125025,7,9,7.5,18CTT3,2,2018-2019
18125026,6.5,8.4,7.5,18CTT3,2,2018-2019
18125027,5.5,8,7,18CTT3,2,2018-2019
18125028,8,8.9,7.5,18CTT3,2,2018-2019
18125029,6.5,8.1,8,18CTT3,2,2018-2019
