StudentID,Midterm,Lab,Final,Class,Semester,Year
18125100,9,9,7,18CTT1,2,2018-2019
18125101,7,8.8,8,18CTT1,2,2018-2019
18125102,8.5,7.3,8,18CTT1,2,2018-2019
18125103,6.5,7.4,6,18CTT1,2,2018-2019
18125104,8.5,9.7,8,18CTT1,2,2018-2019
18125105,7,7.8,7.5,18CTT1,2,2018-2019
18125106,8,8.8,9,18CTT1,2,2018-2019
18125107,8,7.2,8.5,18CTT1,2,2018-2019
18125108,10,8.9,10,18CTT1,2,2018-2019
18125109,9,8.1,9.5,18CTT1,2,2018-2019
18125020,9,9,7,18CTT3,2,2018-2019
18125021,7,8.8,8,18CTT3,2,2018-2019
18125022,8.5,7.3,8,18CTT3,2,2018-2019
18125023,6.5,7.4,6,18CTT3,2,2018-2019
18125024,8.5,9.7,8,18CTT3,2,2018-2019
18125025,7,7.8,7.5,18CTT3,2,2018-2019
18125026,8,8.8,9,18CTT3,2,2018-2019
18125027,8,7.2,8.5,18CTT3,2,2018-2019
18125028,10,8.9,10,18CTT3,2,2018-2019
18125029,9,8.1,9.5,18CTT3,2,2018-2019
18125030,9,9,7,18CTT4,2,2018-2019
18125031,7,8.8,8,18CTT4,2,2018-2019
18125032,8.5,7.3,8,18CTT4,2,2018-2019
18125033,6.5,7.4,6,18CTT4,2,2018-2019
18125034,8.5,9.7,8,18CTT4,2,2018-2019
18125035,7,7.8,7.5,18CTT4,2,2018-2019
18125036,8,8.8,9,18CTT4,2,2018-2019
18125037,8,7.2,8.5,18CTT4,2,2018-2019
18125038,10,8.9,10,18CTT4,2,2018-2019
18125039,9,8.1,9.5,18CTT4,2,2018-2019
