StudentID,Midterm,Lab,Final,Bonus,Class
18125010,5,7.8,7,0,18CTT2
18125011,9,8.8,9,0,18CTT2
18125012,5.5,7.3,7,0,18CTT2
18120513,8,9.7,8,0,18CTT2
18125014,10,9.7,9,0,18CTT2
15125015,7.5,7.8,7.5,0,18CTT2
18125016,7.5,8.8,9,0,18CTT2
18125017,8,9,8.5,0,18CTT2
18125018,10,9,9.5,0,18CTT2
18125019,9,10,9.5,0,18CTT2
18125020,5,7.8,7,0,18CTT3
18125021,9,8.8,9,0,18CTT3
18125022,5.5,7.3,7,0,18CTT3
18125023,8,9.7,8,0,18CTT3
18125024,10,9.7,9,0,18CTT3
18125025,7.5,7.8,7.5,0,18CTT3
18125026,7.5,8.8,9,0,18CTT3
18125027,8,9,8.5,0,18CTT3
18125028,10,9,9.5,0,18CTT3
18125029,9,10,9.5,0,18CTT3
18125030,5,7.8,7,0,18CTT4
18125031,9,8.8,9,0,18CTT4
18125032,5.5,7.3,7,0,18CTT4
18125033,8,9.7,8,0,18CTT4
18125034,10,9.7,9,0,18CTT4
18125035,7.5,7.8,7.5,0,18CTT4
18125036,7.5,8.8,9,0,18CTT4
18125037,8,9,8.5,0,18CTT4
18125038,10,9,9.5,0,18CTT4
18125039,9,10,9.5,0,18CTT4
