StudentID,Midterm,Lab,Final,Bonus,Class
18125101,9,9,7,0,18CTT1
18125102,7,8.8,8,0,18CTT1
18125103,8.5,7.3,8,0,18CTT1
18125104,6.5,7.4,6,0,18CTT1
18125105,8.5,9.7,8,0,18CTT1
18125106,7,7.8,7.5,0,18CTT1
18125107,8,8.8,9,0,18CTT1
18125108,8,7.2,8.5,0,18CTT1
18125109,10,8.9,10,0,18CTT1
18125020,9,8.1,9.5,0,18CTT3
18125021,9,9,7,0,18CTT3
18125022,7,8.8,8,0,18CTT3
18125023,8.5,7.3,8,0,18CTT3
18125024,6.5,7.4,6,0,18CTT3
18125025,8.5,9.7,8,0,18CTT3
18125026,7,7.8,7.5,0,18CTT3
18125027,8,8.8,9,0,18CTT3
18125028,8,7.2,8.5,0,18CTT3
18125029,10,8.9,10,0,18CTT3
18125030,9,8.1,9.5,0,18CTT4
18125031,3,7.4,6,0,18CTT4
18125032,8.5,9.7,8,0,18CTT4
18125033,7,9,7.5,0,18CTT4
18125034,6.5,8.4,7.5,0,18CTT4
18125035,5.5,8,7,0,18CTT4
18125036,8,8.9,7.5,0,18CTT4
18125037,6.5,8.1,8,0,18CTT4
18125038,2.5,7.8,6.5,0,18CTT4
18125039,9,8.8,8,0,18CTT4
